Sample,C46-GDGT,brGDGT_IIIa_0,brGDGT_IIIa_1,brGDGT_IIIa_2,brGDGT_IIIb,brGDGT_IIIc,brGDGT_IIa_0,brGDGT_IIa_1,brGDGT_IIb,brGDGT_IIc,brGDGT_Ia,brGDGT_Ib,brGDGT_Ic
AEGIS-111,5130563.0077396035,104717.46965564601,1798.5110646135095,1350.433342306025,1451.247749154737,927.6378102372498,955170.3345884137,18649.234573563295,57461.9411736544,22358.994767496315,1793780.7959874952,110377.6839858046,39536.60559414181
AEGIS-112,4701360.000756935,158754.67013923303,7125.9232464353845,3541.572730128862,1575.2339980858912,1469.4894704069754,1719666.6955934719,22607.926478876034,67270.1098994828,29892.788687272172,2821462.9623806607,117435.64529548783,46066.45206377788
AEGIS-113,4923133.205622815,185770.6678338328,8214.202874960496,4467.860714020524,2538.4058632361916,1069.3620355844891,2037582.1227450543,50305.345114886826,159096.7683462031,70867.94800593761,3115818.3515654677,267492.3308605268,84991.91131991318
AEGIS-115,3752129.825203981,433350.784074747,18797.087171680683,9189.954657497256,6113.702761229145,2139.7831435393546,3172398.1167649077,89997.91657811853,272035.3275751285,112116.09069511821,5108553.153866614,328149.06058650534,101879.90036935893
AEGIS-116,3784677.167869473,721284.9851252266,31123.627920250306,11773.107305086278,6290.119178125211,2725.858857757664,3672775.7598543377,80497.21248981003,219836.0730772278,103027.75133680731,5291543.260233559,304848.59168706014,101674.47514153941
AEGIS-118,4785690.726556106,821961.773166428,80035.74182201707,16314.001889510986,17795.307652178308,8017.110192571045,6067297.192399301,201037.82222681216,603605.2265368401,284367.91125723935,7099922.828222174,732592.7862997175,251144.98341280958
AEGIS-119,5116573.563260806,684378.2429750771,68086.97353644861,13759.27859705927,29837.30720930862,9651.841209312886,6517295.257308636,243281.94084013606,722344.492974235,297038.48039687995,7773161.254527961,571554.7771407204,169130.62178576188
AEGIS-120,4629726.659181373,634484.5330730717,53239.55061360998,12582.346242578604,28798.77896339929,12011.135370963788,4727476.186372051,202861.66740159807,680093.6575373377,298198.4485037122,6527378.313645886,495429.37650145334,173413.83735421323
AEGIS-122,4901450.383390343,679124.5308589607,26220.740199743745,11588.504422747388,9986.121830711847,5139.411972748405,5767946.112522914,151890.632008095,472191.0222323406,230446.21729596425,8140220.655043717,437203.83857949637,148330.81908453177
AEGIS-123,4896073.305674308,790085.0340450217,15540.296239249541,11494.418240182089,7271.413233635091,4465.171865799343,4476549.473046609,81515.51808216402,262967.44720552233,141332.23355927516,5171883.283092135,230123.60497053075,80779.29128725134
AEGIS-124,3404294.99055953,835580.944189831,53324.25669210796,64978.36900991155,7133.611666157459,1881.1662674856163,3449622.343356152,82404.55010167761,161866.62728013925,106922.02632129824,3416912.8779791123,177898.151020887,80773.99108203247
AEGIS-125,5363886.059655383,878245.6571030375,46751.72331134315,44663.67732563342,8653.78423501241,4534.845207288788,4758053.251819237,126364.5196465719,323404.50604430767,221445.17334121707,6548281.616353746,284806.6568432337,118419.53818741573
